name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time
Instance_168_16_,168,16,10,3512.408368,6.555,6.555093885,0.001432259,2,3512.589467
Instance_168_16_,168,16,50,7059.288551,5.748,6.1795,7.506958942,2,10803.56528
Instance_168_16_,168,16,100,10047.04884,5.8217,6.24315,7.239294357,2,10807.54392
Instance_168_16_,168,16,150,10151.43982,5.365822231,6.075324479,13.22261934,2,10810.694
Instance_168_16_,168,16,200,10024.71806,5.3111,6.661292561,25.42208886,2,10814.54252
Instance_270_16_,270,16,10,3489.221252,7.034,7.034061273,0.000871092,2,3489.407981
Instance_270_16_,270,16,50,10803.95765,9.242,9.537,3.191949794,2,10804.57227
Instance_270_16_,270,16,100,10145.49778,6.8233,7.2249,5.885715123,2,10808.89473
Instance_270_16_,270,16,150,9938.356917,6.390222222,7.393836946,15.70547454,2,10813.47656
Instance_270_16_,270,16,200,10814.20442,5.8312,7.93875,36.14264645,2,10817.4204
Instance_500_16_,500,16,10,10801.47262,8.899,8.919605789,0.231551739,2,10802.54399
Instance_500_16_,500,16,50,7621.203654,8.873,9.064,2.152597769,2,10806.17305
Instance_500_16_,500,16,100,9435.733546,8.6908,9.09445,4.644566668,2,10811.80292
Instance_500_16_,500,16,150,10727.60205,8.495277778,9.28826851,9.334488556,2,10816.6941
Instance_500_16_,500,16,200,10818.84635,8.6263,10.3802,20.33200793,2,10823.16293
Instance_900_16_,900,16,10,1259.419035,9.6915,9.691500024,2.4697E-07,2,1259.67498
Instance_900_16_,900,16,50,9988.13416,10.6465,10.945,2.803738318,2,10807.24068
Instance_900_16_,900,16,100,9047.168728,10.55745,11.11105,5.243690474,2,10814.44179
Instance_900_16_,900,16,150,10794.47206,10.34918889,11.19376784,8.160822674,2,10822.21356
Instance_900_16_,900,16,200,10590.45681,9.41535,11.87055,26.07656646,2,10829.25133
Instance_1500_16_,1500,16,10,6657.938263,11.1205,11.12156535,0.009580083,2,6659.46776
Instance_1500_16_,1500,16,50,9045.610121,12.7755,13.067,2.281711088,2,10809.16259
Instance_1500_16_,1500,16,100,10420.25207,11.93475,12.55839959,5.225493514,2,10816.89748
Instance_1500_16_,1500,16,150,10821.76561,11.05183333,13.31792912,20.5042523,2,10827.7952
Instance_1500_16_,1500,16,200,9960.94694,11.69425,13.51625,15.58030656,2,10834.79249
