name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time
Instance_168_16_,168,16,10,585.484081,6.555,6.555000011,1.66732E-07,2,585.6667249
Instance_168_16_,168,16,50,10802.70224,5.82,5.985,2.835051543,2,10803.1116
Instance_168_16_,168,16,100,10805.40313,5.833450001,6.08055,4.235915263,2,10806.23283
Instance_168_16_,168,16,150,10808.1342,5.593866669,5.875935065,5.04245834,2,10809.35078
Instance_168_16_,168,16,200,10790.22501,5.8232,6.34095,8.8911595,2,10812.54499
Instance_270_16_,270,16,10,340.1728728,7.034,7.03400001,1.41281E-07,2,341.3388591
Instance_270_16_,270,16,50,8960.283413,9.3585,9.4745,1.23951488,2,10803.78695
Instance_270_16_,270,16,100,9680.104846,6.83395,7.09965,3.88794182,2,10807.62587
Instance_270_16_,270,16,150,10333.21353,6.929855556,7.214413786,4.106264965,2,10811.8189
Instance_270_16_,270,16,200,10506.33914,6.8586,7.38375,7.656810428,2,10815.02273
Instance_500_16_,500,16,10,938.3073871,8.899,8.899000028,3.10001E-07,2,939.5927067
Instance_500_16_,500,16,50,7274.278911,8.871,9.01,1.566903393,2,10805.996
Instance_500_16_,500,16,100,10655.52017,8.8001,9.00145,2.288042181,2,10810.65192
Instance_500_16_,500,16,150,10672.83687,8.787088889,9.150323842,4.133734815,2,10814.79428
Instance_500_16_,500,16,200,10738.0528,9.47225,9.954844738,5.094826865,2,10820.00653
Instance_900_16_,900,16,10,329.2072492,9.691500036,9.691500035,3.71625E-09,2,331.0058272
Instance_900_16_,900,16,50,10014.58569,10.684,10.858,1.628603519,2,10806.51614
Instance_900_16_,900,16,100,9489.214087,10.71175,10.9641,2.355824212,2,10812.8049
Instance_900_16_,900,16,150,10817.80817,10.59527778,11.02287222,4.035707714,2,10820.50015
Instance_900_16_,900,16,200,9938.493871,10.89485,11.4399,5.002822434,2,10825.0329
Instance_1500_16_,1500,16,10,546.243221,11.1155,11.1162967,0.007167443,2,548.4710369
Instance_1500_16_,1500,16,50,683.8652339,12.787,13.216,3.354969891,2,10808.422
Instance_1500_16_,1500,16,100,9869.466679,12.0525,12.39835,2.869529143,2,10815.81458
Instance_1500_16_,1500,16,150,9369.064157,12.79843333,13.15256912,2.767024509,2,10826.9992
Instance_1500_16_,1500,16,200,10357.80525,12.48865,13.05044345,4.498432215,2,10831.95541
